Dates,AAPL,ABBV,ABT,ACN,ADBE,AGN,AIG,AMGN,AMZN,AVGO,AXP,BA,BAC,BIIB,BLK,BMY,C,CAT,CB,CELG,CHTR,CL,CMCSA,COP,COST,CRM,CSCO,CVS,CVX,DD,DHR,DIS,DOW,DUK,EOG,FB,FOX,FOXA,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PCLN,PEP,PFE,PG,PM,PNC,PYPL,QCOM,RAI,SBUX,SCHW,SLB,SPG,T,TJX,TMO,TWX,TXN,UNH,UNP,UPS,USB,UTX,V,VZ,WBA,WFC,WMT,XOM
6/26/2017,145.2307338,71.59683364,48.40934856,121.1672995,144.96,248.1481084,62.8437685,172.5033401,993.98,241.7628967,82.33234265,197.7066676,22.77550229,279.81,422.1711392,56.18531025,63.20868172,102.8851166,143.9756443,133.85,332.65,75.05839087,39.26996283,43.72595957,159.7001872,88.11,31.66761262,79.08326027,103.097828,80.79703895,85.18874875,104.7792135,62.67484699,85.81510321,87.07988713,153.59,27.42609984,27.84647239,198.5842525,27.33584195,70.79265306,34.16822741,952.27,972.09,219.6909175,150.5259258,133.6164965,152.0907578,33.42506173,134.6567302,86.27460671,88.30197991,45.06835843,83.7433819,278.047871,75.89572922,123.1092129,153.0581342,44.46565563,88.16916856,51.83014797,211.3844769,75.72749285,65.45472894,43.55186416,69.80301323,143.2887222,157.5,53.09901491,152.0190378,50.47022911,1876.34,116.3069122,33.40858404,88.00453161,118.3811538,119.675034,53.74,55.48202771,65.75,59.05530873,41.69466657,64.86289116,156.8166459,37.18163909,69.63516355,173.0945512,99.03886153,77.33028086,184.422031,107.4109316,110.1854962,50.45367368,121.1513058,95.068178,45.75,77.15023022,52.15785999,75.03111301,80.45551543
6/27/2017,143.1591392,71.25233417,48.17180525,121.0187373,142.54,245.3367401,63.07254449,169.702284,976.78,234.3730689,82.45143475,196.6290585,23.1536015,271.25,419.6263227,55.17847581,63.65465078,102.5693062,143.3617179,130.93,329.87,74.54408907,38.93271132,43.4689225,158.7631199,87.68,31.19613452,79.44847253,103.0285285,80.32914087,84.3415458,104.620412,62.20160605,84.82530963,87.68772248,150.58,27.02890796,27.41944018,197.2352286,26.93981382,70.21629513,33.86138643,927.33,948.09,219.5314612,151.3410841,132.2928711,151.6204649,33.01301224,133.3431505,87.07564329,86.88223816,44.69138339,82.51127709,276.1889167,75.52960901,122.331807,152.8195401,43.54465208,87.81312929,52.2045863,208.5707896,74.58955195,65.07741102,43.76962348,68.49661911,141.3415136,151.03,52.77013587,146.4538322,50.3610721,1858.25,115.1351041,33.14359233,87.26590807,117.0240943,120.4107004,52.73,54.37356429,65.37,58.38197523,42.46180859,64.34115293,158.6931679,36.74306144,69.65507638,173.5641837,98.53285252,75.98729552,183.9039916,106.7348283,108.8554488,50.85920213,120.872957,94.74868822,44.84,76.88155278,52.41421242,75.53794569,80.32677075
6/28/2017,145.2406934,71.7740048,47.98375012,122.5538796,143.81,245.9548424,63.50025611,172.9006531,990.33,240.0698094,83.33470121,197.35076,23.76055023,274.64,424.3183282,55.14886303,64.59614102,105.0563133,144.906436,134.23,340.3,74.26715734,39.5377802,43.45903646,159.6702808,88.09,31.51045325,80.19863825,103.236427,80.91650229,84.58075605,106.0595506,62.8128756,84.10276032,88.7041029,153.24,27.5750468,27.91598926,199.2091679,26.81110468,71.46838305,34.22761598,940.49,961.01,222.4614707,152.3252385,133.3278864,152.1789377,33.55260085,132.1678424,88.82605656,87.19001435,44.95923408,82.57089507,278.3659808,76.21237372,124.3949228,153.3961426,43.79223368,88.31751825,53.74175419,209.4059477,75.04472831,64.70009311,43.86860499,69.0805377,140.0996714,153.41,53.17874316,151.6193821,50.48015247,1890.21,115.5720495,33.12396331,87.02954854,117.8066322,122.6773483,54.39,55.08965128,65.58,58.59981842,42.6909549,64.23286764,160.0907859,36.97696952,71.09875649,175.6325652,98.85034837,77.08340855,184.9998442,108.146691,109.2624036,51.69004091,121.7775906,96.07656762,44.84,76.7123855,53.56779836,76.03484048,80.74271507
6/29/2017,143.0993817,71.34091975,48.23119107,121.8110688,141.24,243.2730762,63.16206552,171.4305952,975.93,233.0883145,82.99727357,195.2153145,24.19834931,271.88,420.7297393,55.0995084,66.38001727,104.2569182,144.2497152,131.7,335.74,73.30778668,38.55578316,43.57766895,158.1849295,86.8,30.8523484,79.23131929,103.0780282,80.10016947,83.89189012,104.9181648,62.27660757,83.17235436,89.68062526,151.04,27.54525741,27.99543712,195.3704014,26.75170046,70.41503925,34.50476267,917.79,937.82,223.6474269,151.2615564,131.6857948,151.0130033,32.90509452,131.0024108,90.14133885,85.14479197,44.47313468,82.1734419,275.0954141,75.79677781,121.1058975,152.2329962,42.88714777,87.73400945,54.25414348,206.6519144,73.61982841,63.88588076,44.29422548,67.7840405,139.0565239,150.09,52.98938856,146.5537461,49.81528709,1876.99,114.3803803,33.00618922,85.67048125,115.9741066,124.5165144,53.42,54.03023491,65.01,57.78785743,42.85036104,64.36084116,158.8984125,36.66509208,70.77019481,173.7540351,98.99917455,75.93792106,184.5714654,107.2717338,108.9646318,51.49115656,120.9326032,94.26945354,44.41,77.9861156,54.99745615,75.45844252,79.92072987
6/30/2017,143.4380077,71.37044827,48.11241942,122.4944548,141.44,242.3459229,62.18728089,171.0730136,968,232.1023401,83.60265845,195.5020178,24.13864944,271.36,419.904662,55.00079915,66.28091303,106.05309,144.6576781,129.87,336.85,73.3176771,38.76110981,43.45903646,159.4310296,86.6,30.74430134,79.41886072,103.2859266,80.34905143,84.25129843,105.4541199,62.63411959,82.73684518,90.19877998,150.98,27.67434477,28.14440184,196.5012009,26.74179975,70.3355416,34.57404934,908.73,929.68,221.1459562,152.4942347,132.6511456,150.7190702,33.10130856,130.6567319,90.38857236,85.00579627,44.49297547,81.77598874,275.9702161,76.7170259,121.0460971,152.2628205,42.96671576,87.77356937,54.1358998,206.9899546,73.68909438,63.63764529,44.10616062,68.21950521,139.2154797,149.41,58.79958483,144.4355709,49.7557469,1870.52,114.6882282,32.96693119,85.82805427,116.3406118,124.1387398,53.67,54.16756666,65.04,57.73834762,42.80054662,64.81367058,158.0969813,36.77229995,71.855444,174.3335816,99.6242445,75.96754573,184.7208999,108.2858887,109.7686157,51.6303756,121.3898905,93.63047398,44.66,77.9264095,54.63264692,75.20999513,79.95044018
07/03/17,142.920109,71.28186269,48.2113958,122.7420584,138.41,243.2331987,62.9531831,171.6391845,953.66,228.8257184,84.45615187,196.3324689,24.55654856,272.52,426.276644,55.54370007,67.64855149,105.5695053,145.6228586,130.18,328.67,73.12975914,38.203396,45.13966344,158.3244927,86.1,30.77376872,79.57679035,105.236212,81.76270095,84.12151209,106.6550562,63.49810697,82.45970298,92.04221506,148.43,27.9325195,28.32315951,198.0486106,27.1774307,70.25604396,35.20752749,898.7,919.46,226.5076743,153.1006329,133.0691326,152.4336797,32.82660891,131.2592008,92.21810036,83.86404591,44.40369191,82.1734419,277.2724783,77.43937117,120.3783253,151.6066866,42.96671576,87.83290925,55.33804391,208.6205014,73.7484652,63.81637483,45.14546646,67.46733889,138.7088081,146.17,58.45077373,139.2100725,48.98172451,1843.13,114.6385753,33.19266487,86.40910478,115.7958069,125.2621223,52.87,53.90271257,64.8,57.67893584,43.31861655,65.92605587,161.4395361,37.14265441,71.25805913,174.2736285,100.5866538,75.45405134,185.9462623,109.4094132,109.7884671,52.28669394,121.3600674,93.20115959,45,77.74729121,54.99745615,74.89198246,81.30721094
07/05/17,143.5077248,71.34091975,48.49842731,122.8609081,141.21,243.5422498,62.44589722,173.0893767,971.4,230.6681957,84.56531964,199.5158645,24.79534806,277.71,426.2269405,56.00763359,67.83684954,106.0826972,145.2447467,133.2,335.11,72.95173159,38.55196713,43.65675728,157.5269886,87.5,30.84252594,78.62921259,103.5730245,80.85677062,83.9517915,104.838764,62.98170072,82.43990711,89.97956068,150.34,27.74385335,28.1642638,199.9531149,27.07842367,70.41503925,34.65323411,911.94,932.26,227.2650917,151.788427,133.1587012,150.5623059,33.68995068,131.9900647,93.14276703,83.18892396,44.46321429,82.1734419,280.7319226,76.55870364,121.7936028,152.1733477,42.88714777,88.37685813,55.07199563,208.5509049,73.82762631,63.70715122,45.68986477,68.36795908,137.9140291,147.61,57.36447632,142.9268706,49.08095815,1866.01,114.4995472,33.01600373,86.34016658,117.420316,125.3416538,54.61,54.39318311,64.87,57.37197498,43.51787422,64.7152294,154.6469173,37.15240058,70.86975896,175.6025886,100.775167,75.94779595,187.5402297,107.6296709,109.6991356,52.36624768,122.0658804,93.86010726,44.65,78.25479304,54.99745615,74.85223088,80.06928141
07/06/17,142.1532207,70.60270659,47.44927765,121.7615481,140.83,240.8106367,62.74430068,170.5664396,965.14,234.0842481,83.41971806,199.1896159,24.5863985,271.96,422.6681737,54.9441346,67.0241948,105.1155278,144.71738,131.95,332.18,72.6451286,38.09384507,42.81644379,156.5998902,86.85,30.46083605,77.69150544,102.7810304,81.22511592,82.79369805,103.35,63.12073317,82.36072362,88.31548685,148.82,27.32680187,27.75709356,198.2398572,26.04875052,69.04370487,34.51466077,906.69,927.69,225.9196792,151.1522059,132.7307622,149.2787983,32.99339084,130.8838923,92.84448746,82.22588235,44.04655766,81.0804457,279.3004284,75.78688267,120.615406,152.1932305,42.82667609,86.74650889,55.06214199,206.8209345,73.5406673,62.65463283,45.66017031,67.8632159,138.6591344,146.25,56.96583506,143.3565005,48.47563295,1872.3,114.3307274,32.60379441,86.04471717,117.2321107,125.2720637,53.47,53.74576199,64.5,57.03530823,43.31861655,64.11473822,152.252397,36.71382293,69.98363806,174.9031359,101.1055611,75.89842149,186.2351689,107.1424788,108.4286425,51.88892525,121.1711879,93.10131903,43.52,77.33929953,54.78054255,75.00129932,79.34633057
07/07/17,143.5973611,70.89799185,47.94415957,123.0193744,142.22,239.9532691,63.0128638,170.2783878,978.76,238.6456243,84.00746148,200.0694986,24.70579825,273.93,429.8155294,55.5703069,67.30168666,105.5201599,145.792014,132.56,332.43,72.53633399,38.41253868,42.50997652,153.6291876,87.92,30.63433146,77.62241123,102.4543328,81.66314817,82.93346795,103.32,63.44845252,82.56858028,88.12616109,151.44,27.36652106,27.70743865,200.4710766,25.89033926,68.81514914,34.58394744,918.59,940.81,224.5144706,151.3311431,133.4771675,149.8470688,33.23865839,130.9036454,93.31179211,82.44430416,44.03663726,81.76605241,283.5153836,76.34101055,122.0132667,155.3546027,42.98660776,87.44238966,55.34789755,208.3818848,73.47140133,62.71420934,45.58098511,68.74404224,139.5631955,150.18,57.78304963,146.6336772,48.97180115,1918.5,114.7080893,32.73138301,86.32046996,116.7863612,125.7989599,53.97,54.295089,64.58,57.47099461,43.15921042,64.06551764,153.0929225,36.5163306,70.04337655,177.3512203,100.8465715,77.49815402,187.2513231,107.7290978,109.5403239,52.16736333,121.8869419,93.77025076,43.48,77.09052412,54.95801731,74.86216878,79.44536494
07/10/17,144.473805,70.70113501,47.73630916,122.8708123,143.34,240.4317998,62.7343539,171.0432151,996.47,240.7868817,83.97757622,201.6414238,24.76549812,273.58,433.6526355,55.59018539,67.04401565,106.4281149,144.5581749,131.93,336.6,72.27918309,38.60176301,42.7472415,150.5288906,88.5,30.71364364,77.12888114,102.0088362,82.2007332,82.42430618,103.59,64.07409856,82.34092775,89.30197373,153.5,27.64455538,28.10467791,200.2818214,25.78143153,68.85489796,34.83139984,928.8,951,225.0725676,150.2873429,134.0444355,150.3173617,33.01301224,129.9258681,92.65557706,82.17624103,44.02671687,81.75611608,283.8831981,76.11342231,122.5424568,154.6089961,42.81752577,86.68686197,55.22965387,209.276697,72.91727359,62.38653852,45.5215962,69.25868235,140.1096061,152.67,58.53050198,153.5677037,49.23973198,1921.82,113.4766979,32.79027005,85.76896439,117.0439054,126.4550949,54.96,54.57956192,63.94,57.24324945,43.4680598,64.33130881,151.9200962,36.36821136,68.38065531,177.5310795,100.1592529,77.79440079,186.2451312,107.8782382,109.391438,52.01820007,122.3342881,94.93838527,43.2,76.78204262,54.81012168,72.77521067,79.38594432
07/11/17,144.9419057,70.71097785,47.65712806,122.6628252,142.93,241.3788919,62.57520539,172.1556913,994.13,239.9104601,83.83811168,203.9251642,24.47694873,271.76,429.348317,54.99383081,66.22145049,106.8228779,143.7322988,132.25,337.85,71.60663459,38.61172218,42.85598795,150.6385474,88.35,30.8226979,76.63535106,102.0880356,82.2007332,82.96341864,103.84,64.10389123,82.33102982,90.30838964,155.27,27.52539782,27.90605828,199.1263685,26.11805544,68.91452119,35.03925986,930.09,953.53,226.1787957,149.7107676,133.5766882,150.092013,33.2779012,129.6098188,92.29764158,83.15913917,43.97711489,81.82567038,284.7281773,75.45044789,124.0401646,154.0025693,42.75784978,86.74650889,54.71726458,208.4514813,72.66,61.899997,45.0167905,69.26857927,139.8314334,154.33,57.98237026,155.7458272,49.49773944,1929.15,112.9503773,32.55472187,85.45381835,116.1028787,126.6439822,54.76,54.27547018,64,57.33236712,42.94002699,64.76444999,150.4540634,36.14109519,68.301004,178.5003211,99.46197313,78.05114799,185.2489016,107.9677225,109.2524779,51.48121235,122.8114575,95.25787505,42.89,76.91140583,54.26783769,73.01372017,79.82169551
07/12/17,145.1510571,71.38029111,48.19654934,124.2672966,145.91,244.8382706,62.85371528,172.1060272,1006.51,245.4179732,84.49558737,204.0932316,24.22819925,275.08,432.70827,54.70559277,66.32055473,107.5334514,143.7223485,133.56,342.65,71.48794956,38.86070156,42.7472415,151.2765506,90.4,30.89209606,76.44780963,102.8503299,84.46058138,83.35277765,104.38,65.8219351,83.12286468,90.24860255,158.9,28.11125585,28.45226227,200.3216646,26.31606951,69.36169545,35.13824082,943.83,967.66,226.6173005,151.6890174,134.124052,150.5916992,33.60165436,130.5974727,91.9794767,84.09239598,44.15568201,82.96834823,284.6685317,75.42076246,125.0885601,155.6627868,43.00649975,87.29327236,54.7468255,210.082028,73.11517636,62.33689143,44.50208665,70.41662259,139.8612377,158.75,58.02223438,162.3701205,50.06337118,1946.18,113.9732267,32.60379441,85.64093631,117.1132442,126.4749777,56.55,55.12888892,64.84,57.96609277,42.89021257,64.55772352,151.9982847,36.36821136,68.62956568,180.0591013,99.34243947,79.51263203,185.9861115,108.5841695,109.7487642,51.61048717,122.9804549,96.02664734,43.22,77.14027921,54.3960139,73.48080127,80.17821921
